#,id,condition_text,else_text,end_line,parse_mode,program_id,raw_snippet,rule_type,start_line,subject_text,then_text,when_text,when_index,is_when_other,evaluate_boolean_mode
30,28,SALES,"IF MANAGEMENT DISPLAY 'MANAGEMENT' PERFORM 4000-PROCESS-MANAGEMENT ELSE IF DELETED DISPLAY 'DELETED' IF CURSOR-FETCHED DISPLAY 'DELETE WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH DISPLAY ""EXEC_BLOCK_STUB"" ELSE DISPLAY 'DELETE WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH IF DELETED AND CURSOR-NOT-FETCHED DISPLAY ""EXEC_BLOCK_STUB"" END-IF DISPLAY 'ENDIF CURSOR FETCHED' IF SQLCODE NOT EQUAL TO 0 MOVE SQLCODE TO WS-DISPLAY-SQLCODE DISPLAY 'ERROR ON DELETE - SQLCODE = ' WS-DISPLAY-SQLCODE END-IF ELSE DISPLAY 'INVALID EMPLOYEE TYPE' WA-EMP-TYPE IF RECORDS-READ NOT EQUAL TO ZERO MOVE ' INVALID EMPLOYEE TYPE ' TO ERROR-LINE WRITE REPORT-RECORD FROM ERROR-LINE END-IF END-IF END-IF END-IF",368,FULL,928,"IF SALES
            DISPLAY 'SALES'
            PERFORM 3000-PROCESS-SALES
        ELSE
            IF MANAGEMENT
                DISPLAY 'MANAGEMENT'
                PERFORM 4000-PROCESS-MANAGEMENT
            ELSE
               IF DELETED
                   DISPLAY 'DELETED'
                   IF CURSOR-FETCHED
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
                   ELSE
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
                     IF DELETED AND CURSOR-NOT-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
                   END-IF
                   DISPLAY 'ENDIF CURSOR FETCHED'
                   IF SQLCODE NOT EQUAL TO 0
                      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                      DISPLAY 'ERROR ON DELETE - SQLCODE = '
                      WS-DISPLAY-SQLCODE
                   END-IF
               ELSE
                   DISPLAY 'INVALID EMPLOYEE TYPE'  WA-EMP-TYPE
                   IF RECORDS-READ NOT EQUAL TO ZERO
                      MOVE ' INVALID EMPLOYEE TYPE '
                         TO ERROR-LINE
                      WRITE REPORT-RECORD FROM ERROR-LINE
                  END-IF
               END-IF
            END-IF
        END-IF",IF,333,,DISPLAY 'SALES' PERFORM 3000-PROCESS-SALES,,,,
31,29,MANAGEMENT,"IF DELETED DISPLAY 'DELETED' IF CURSOR-FETCHED DISPLAY 'DELETE WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH DISPLAY ""EXEC_BLOCK_STUB"" ELSE DISPLAY 'DELETE WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH IF DELETED AND CURSOR-NOT-FETCHED DISPLAY ""EXEC_BLOCK_STUB"" END-IF DISPLAY 'ENDIF CURSOR FETCHED' IF SQLCODE NOT EQUAL TO 0 MOVE SQLCODE TO WS-DISPLAY-SQLCODE DISPLAY 'ERROR ON DELETE - SQLCODE = ' WS-DISPLAY-SQLCODE END-IF ELSE DISPLAY 'INVALID EMPLOYEE TYPE' WA-EMP-TYPE IF RECORDS-READ NOT EQUAL TO ZERO MOVE ' INVALID EMPLOYEE TYPE ' TO ERROR-LINE WRITE REPORT-RECORD FROM ERROR-LINE END-IF END-IF END-IF",367,FULL,928,"IF MANAGEMENT
                DISPLAY 'MANAGEMENT'
                PERFORM 4000-PROCESS-MANAGEMENT
            ELSE
               IF DELETED
                   DISPLAY 'DELETED'
                   IF CURSOR-FETCHED
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
                   ELSE
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
                     IF DELETED AND CURSOR-NOT-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
                   END-IF
                   DISPLAY 'ENDIF CURSOR FETCHED'
                   IF SQLCODE NOT EQUAL TO 0
                      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                      DISPLAY 'ERROR ON DELETE - SQLCODE = '
                      WS-DISPLAY-SQLCODE
                   END-IF
               ELSE
                   DISPLAY 'INVALID EMPLOYEE TYPE'  WA-EMP-TYPE
                   IF RECORDS-READ NOT EQUAL TO ZERO
                      MOVE ' INVALID EMPLOYEE TYPE '
                         TO ERROR-LINE
                      WRITE REPORT-RECORD FROM ERROR-LINE
                  END-IF
               END-IF
            END-IF",IF,337,,DISPLAY 'MANAGEMENT' PERFORM 4000-PROCESS-MANAGEMENT,,,,
32,30,DELETED,,366,FULL,928,"IF DELETED
                   DISPLAY 'DELETED'
                   IF CURSOR-FETCHED
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
                   ELSE
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
                     IF DELETED AND CURSOR-NOT-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
                   END-IF
                   DISPLAY 'ENDIF CURSOR FETCHED'
                   IF SQLCODE NOT EQUAL TO 0
                      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                      DISPLAY 'ERROR ON DELETE - SQLCODE = '
                      WS-DISPLAY-SQLCODE
                   END-IF
               ELSE
                   DISPLAY 'INVALID EMPLOYEE TYPE'  WA-EMP-TYPE
                   IF RECORDS-READ NOT EQUAL TO ZERO
                      MOVE ' INVALID EMPLOYEE TYPE '
                         TO ERROR-LINE
                      WRITE REPORT-RECORD FROM ERROR-LINE
                  END-IF
               END-IF",IF,341,,"DISPLAY 'DELETED' IF CURSOR-FETCHED DISPLAY 'DELETE WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH DISPLAY ""EXEC_BLOCK_STUB"" ELSE DISPLAY 'DELETE WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH IF DELETED AND CURSOR-NOT-FETCHED DISPLAY ""EXEC_BLOCK_STUB"" END-IF DISPLAY 'ENDIF CURSOR FETCHED' IF SQLCODE NOT EQUAL TO 0 MOVE SQLCODE TO WS-DISPLAY-SQLCODE DISPLAY 'ERROR ON DELETE - SQLCODE = ' WS-DISPLAY-SQLCODE END-IF ELSE DISPLAY 'INVALID EMPLOYEE TYPE' WA-EMP-TYPE IF RECORDS-READ NOT EQUAL TO ZERO MOVE ' INVALID EMPLOYEE TYPE ' TO ERROR-LINE WRITE REPORT-RECORD FROM ERROR-LINE END-IF END-IF",,,,
33,31,CURSOR-FETCHED,"DISPLAY 'DELETE WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH IF DELETED AND CURSOR-NOT-FETCHED DISPLAY ""EXEC_BLOCK_STUB"" END-IF DISPLAY 'ENDIF CURSOR FETCHED' IF SQLCODE NOT EQUAL TO 0 MOVE SQLCODE TO WS-DISPLAY-SQLCODE DISPLAY 'ERROR ON DELETE - SQLCODE = ' WS-DISPLAY-SQLCODE END-IF",358,FULL,928,"IF CURSOR-FETCHED
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
                   ELSE
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
                     IF DELETED AND CURSOR-NOT-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
                   END-IF
                   DISPLAY 'ENDIF CURSOR FETCHED'
                   IF SQLCODE NOT EQUAL TO 0
                      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                      DISPLAY 'ERROR ON DELETE - SQLCODE = '
                      WS-DISPLAY-SQLCODE
                   END-IF",IF,343,,"DISPLAY 'DELETE WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH DISPLAY ""EXEC_BLOCK_STUB""",,,,
34,32,DELETED AND CURSOR-NOT-FETCHED,,352,FULL,928,"IF DELETED AND CURSOR-NOT-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
                   END-IF",IF,350,,"DISPLAY ""EXEC_BLOCK_STUB""",,,,
35,33,SQLCODE NOT EQUAL TO 0,,358,FULL,928,"IF SQLCODE NOT EQUAL TO 0
                      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                      DISPLAY 'ERROR ON DELETE - SQLCODE = '
                      WS-DISPLAY-SQLCODE
                   END-IF",IF,354,,MOVE SQLCODE TO WS-DISPLAY-SQLCODE DISPLAY 'ERROR ON DELETE - SQLCODE = ' WS-DISPLAY-SQLCODE,,,,
36,2295,EH1 = H1,PERFORM BAD,38,FULL,1650,IF EH1 = H1  PERFORM GOOD ELSE PERFORM BAD,IF,38,,PERFORM GOOD,,,,
37,35,CURSOR-OPEN OR CURSOR-FETCHED,,381,FULL,928,"IF CURSOR-OPEN OR CURSOR-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
         DISPLAY 'CLOSED CURSOR  WS-CURSOR-SWITCH= '
              WS-CURSOR-SWITCH
         MOVE 'C' TO WS-CURSOR-SWITCH
         IF SQLCODE NOT EQUAL TO 0
            MOVE SQLCODE TO WS-DISPLAY-SQLCODE
            DISPLAY 'ERROR ON CLOSE CURSOR - SQLCODE = '
            WS-DISPLAY-SQLCODE
         END-IF
     END-IF",IF,371,,"DISPLAY ""EXEC_BLOCK_STUB"" DISPLAY 'CLOSED CURSOR WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH MOVE 'C' TO WS-CURSOR-SWITCH IF SQLCODE NOT EQUAL TO 0 MOVE SQLCODE TO WS-DISPLAY-SQLCODE DISPLAY 'ERROR ON CLOSE CURSOR - SQLCODE = ' WS-DISPLAY-SQLCODE END-IF",,,,
38,36,SQLCODE NOT EQUAL TO 0,,380,FULL,928,"IF SQLCODE NOT EQUAL TO 0
            MOVE SQLCODE TO WS-DISPLAY-SQLCODE
            DISPLAY 'ERROR ON CLOSE CURSOR - SQLCODE = '
            WS-DISPLAY-SQLCODE
         END-IF",IF,376,,MOVE SQLCODE TO WS-DISPLAY-SQLCODE DISPLAY 'ERROR ON CLOSE CURSOR - SQLCODE = ' WS-DISPLAY-SQLCODE,,,,
39,37,WA-EMP-HOURS GREATER THAN 40,COMPUTE EMP-WAGES = WA-EMP-HOURS * WA-EMP-RATE,392,FULL,928,"IF WA-EMP-HOURS GREATER THAN 40
        COMPUTE EMP-WAGES = WA-EMP-RATE * 40
        COMPUTE OT-HOURS  = WA-EMP-HOURS - 40
        COMPUTE OT-AMOUNT = OT-HOURS * (WA-EMP-RATE * 1.5)
    ELSE
        COMPUTE EMP-WAGES = WA-EMP-HOURS * WA-EMP-RATE",IF,387,,COMPUTE EMP-WAGES = WA-EMP-RATE * 40 COMPUTE OT-HOURS = WA-EMP-HOURS - 40 COMPUTE OT-AMOUNT = OT-HOURS * ( WA-EMP-RATE * 1.5 ),,,,
